,Направление подготовки,Сумма баллов,Год,ID
72,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",136.0,2016,
73,19.03.04 Технология продукции и организация общественного питания,161.0,2016,28.0
74,20.03.01 Техносферная безопасность,150.0,2016,10.0
75,21.03.01 Нефтегазовое дело,135.0,2016,8.0
76,21.03.02 Землеустройство и кадастры,173.0,2016,0.0
77,21.05.01 Прикладная геодезия,164.0,2016,3.0
78,21.05.02 Прикладная геология,139.0,2016,
79,21.05.03 Технология геологической разведки,167.0,2016,
80,22.03.01 Материаловедение и технологии материалов,147.0,2016,35.0
81,23.03.01 Технология транспортных процессов,166.0,2016,34.0
82,23.03.02 Наземные транспортно-технологические комплексы,160.0,2016,
83,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,143.0,2016,
84,23.05.01 Наземные транспортно-технологические средства,131.0,2016,23.0
85,27.03.01 Стандартизация и метрология,160.0,2016,
86,27.03.02 Управление качеством,146.0,2016,
87,27.03.04 Управление в технических системах,140.0,2016,9.0
88,27.03.05 Инноватика,166.0,2016,
89,43.03.01 Сервис,163.0,2016,
90,05.03.01 Геология,185.0,2017,20.0
91,07.03.01 Архитектура,304.0,2017,21.0
92,07.03.03 Дизайн архитектурной среды,292.0,2017,16.0
93,08.03.01 Строительство,124.0,2017,6.0
94,08.05.01 Строительство уникальных зданий и сооружений,195.0,2017,
95,"08.05.03 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",171.0,2017,
96,09.03.01 Информатика и вычислительная техника,150.0,2017,
97,09.03.02 Информационные системы и технологии,141.0,2017,
98,12.03.01 Приборостроение,171.0,2017,25.0
99,12.03.04 Биотехнические системы и технологии,141.0,2017,26.0
100,13.03.01 Теплоэнергетика и теплотехника,136.0,2017,24.0
101,13.03.02 Электроэнергетика и электротехника,139.0,2017,12.0
102,15.03.01 Машиностроение,161.0,2017,33.0
103,15.03.02 Технологические машины и оборудование,165.0,2017,
104,15.03.04 Автоматизация технологических процессов и производств,161.0,2017,4.0
105,18.03.01 Химическая технология,190.0,2017,5.0
106,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",200.0,2017,
107,19.03.04 Технология продукции и организация общественного питания,168.0,2017,28.0
108,20.03.01 Техносферная безопасность,157.0,2017,10.0
