,Направление подготовки,Сумма баллов,Год
0,01.03.02 Прикладная математика и информатика,238,2023
1,05.03.01 Геология,179,2023
2,07.03.01 Архитектура,304,2023
3,07.03.03 Дизайн архитектурной среды,292,2023
4,08.03.01 Строительство,140,2023
5,08.05.00 Техника и технологии строительства,220,2023
6,09.03.00 Информатика и вычислительная техника,224,2023
7,12.03.01 Приборостроение,169,2023
8,12.03.04 Биотехнические системы и технологии,197,2023
9,13.03.01 Теплоэнергетика и теплотехника,139,2023
10,13.03.02 Электроэнергетика и электротехника,188,2023
11,15.03.01 Машиностроение,178,2023
12,15.03.04 Автоматизация технологических процессов и производств,229,2023
13,15.03.06 Мехатроника и робототехника,208,2023
14,18.03.00 Химические технологии,143,2023
15,19.03.04 Технология продукции и организация общественного питания,171,2023
16,20.03.01 Техносферная безопасность,145,2023
17,21.03.01 Нефтегазовое дело,207,2023
18,21.03.02 Землеустройство и кадастры,165,2023
19,"21.05.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия",146,2023
20,21.05.01 Прикладная геодезия,188,2023
21,22.03.01 Материаловедение и технологии материалов,135,2023
22,23.03.01 Технология транспортных процессов,223,2023
23,23.05.01 Наземные транспортно-технологические средства,146,2023
24,27.03.00 Управление в технических системах,174,2023
25,27.03.03 Системный анализ и управление,207,2023
26,27.03.04 Управление в технических системах,214,2023
27,28.03.03 Наноматериалы,126,2023
28,41.03.06 Публичная политика и социальные науки,214,2023
29,43.03.00 Сервис и туризм,222,2023
