,"Направление, специальность, профессия",Итоговая сумма баллов,Год
0,05.03.01 Геология,156.0,2016
1,07.03.01 Архитектура,267.0,2016
2,07.03.03 Дизайн архитектурной среды,239.0,2016
3,08.03.01 Строительство,136.0,2016
4,08.05.01 Строительство уникальных зданий и сооружений,137.0,2016
5,"08.05.03 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",161.0,2016
6,09.03.01 Информатика и вычислительная техника,139.0,2016
7,09.03.02 Информационные системы и технологии,173.0,2016
8,12.03.01 Приборостроение,128.0,2016
9,12.03.04 Биотехнические системы и технологии,167.0,2016
10,13.03.01 Теплоэнергетика и теплотехника,134.0,2016
11,13.03.02 Электроэнергетика и электротехника,160.0,2016
12,15.03.01 Машиностроение,132.0,2016
13,15.03.02 Технологические машины и оборудование,162.0,2016
14,15.03.04 Автоматизация технологических процессов и производств,154.0,2016
15,18.03.01 Химическая технология,178.0,2016
16,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",136.0,2016
17,19.03.04 Технология продукции и организация общественного питания,161.0,2016
18,20.03.01 Техносферная безопасность,150.0,2016
19,21.03.01 Нефтегазовое дело,135.0,2016
20,21.03.02 Землеустройство и кадастры,173.0,2016
21,21.05.01 Прикладная геодезия,164.0,2016
22,21.05.02 Прикладная геология,139.0,2016
23,21.05.03 Технология геологической разведки,167.0,2016
24,22.03.01 Материаловедение и технологии материалов,147.0,2016
25,23.03.01 Технология транспортных процессов,166.0,2016
26,23.03.02 Наземные транспортно-технологические комплексы,160.0,2016
27,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,143.0,2016
28,23.05.01 Наземные транспортно-технологические средства,131.0,2016
29,27.03.01 Стандартизация и метрология,160.0,2016
30,27.03.02 Управление качеством,146.0,2016
31,27.03.04 Управление в технических системах,140.0,2016
32,27.03.05 Инноватика,166.0,2016
33,43.03.01 Сервис,163.0,2016
