,Направление подготовки,Сумма баллов,Год
0,01.03.02 Прикладная математика и информатика,249,2024
1,05.03.01 Геология,186,2024
2,07.03.01 Архитектура,302,2024
3,07.03.03 Дизайн архитектурной среды,297,2024
4,08.03.01 Строительство,137,2024
5,08.05.00 Техника и технологии строительства,238,2024
6,09.03.00 Информатика и вычислительная техника,231,2024
7,12.03.01 Приборостроение,175,2024
8,12.03.04 Биотехнические системы и технологии,148,2024
9,13.03.01 Теплоэнергетика и теплотехника,147,2024
10,13.03.02 Электроэнергетика и электротехника,197,2024
11,15.03.01 Машиностроение,182,2024
12,15.03.03 Прикладная механика,141,2024
13,15.03.04 Автоматизация технологических процессов и производств,225,2024
14,15.03.06 Мехатроника и робототехника,207,2024
15,18.03.00 Химические технологии,167,2024
16,19.03.04 Технология продукции и организация общественного питания,142,2024
17,20.03.01 Техносферная безопасность,129,2024
18,21.03.01 Нефтегазовое дело,219,2024
19,21.03.02 Землеустройство и кадастры,161,2024
20,"21.05.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия",170,2024
21,21.05.01 Прикладная геодезия,171,2024
22,22.03.01 Материаловедение и технологии материалов,144,2024
23,23.03.01 Технология транспортных процессов,245,2024
24,23.05.01 Наземные транспортно-технологические средства,148,2024
25,27.03.00 Управление в технических системах,176,2024
26,27.03.03 Системный анализ и управление,204,2024
27,27.03.04 Управление в технических системах,195,2024
28,28.03.03 Наноматериалы,158,2024
29,43.03.00 Сервис и туризм,218,2024
