,Направление подготовки,Сумма баллов,Год
0,01.03.02 Прикладная математика и информатика,227,2022
1,02.03.01 Математика и компьютерные науки,219,2022
2,05.03.01 Геология,145,2022
3,07.03.01 Архитектура,292,2022
4,07.03.03 Дизайн архитектурной среды,251,2022
5,08.03.01 Строительство,125,2022
6,08.05.00 Техника и технологии строительства,217,2022
7,"08.05.02 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",134,2022
8,09.03.00 Информатика и вычислительная техника,226,2022
9,09.03.02 Информационные системы и технологии,223,2022
10,12.03.01 Приборостроение,156,2022
11,12.03.04 Биотехнические системы и технологии,200,2022
12,13.03.01 Теплоэнергетика и теплотехника,137,2022
13,13.03.02 Электроэнергетика и электротехника,208,2022
14,15.03.01 Машиностроение,192,2022
15,15.03.04 Автоматизация технологических процессов и производств,208,2022
16,15.03.06 Мехатроника и робототехника,203,2022
17,18.03.00 Химические технологии,150,2022
18,19.03.04 Технология продукции и организация общественного питания,132,2022
19,20.03.01 Техносферная безопасность,151,2022
20,21.03.01 Нефтегазовое дело,206,2022
21,21.03.02 Землеустройство и кадастры,153,2022
22,"21.05.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия",168,2022
23,21.05.01 Прикладная геодезия,154,2022
24,22.03.01 Материаловедение и технологии материалов,143,2022
25,23.03.01 Технология транспортных процессов,184,2022
26,23.05.01 Наземные транспортно-технологические средства,122,2022
27,27.03.00 Управление в технических системах,165,2022
28,27.03.03 Системный анализ и управление,208,2022
29,27.03.04 Управление в технических системах,211,2022
30,43.03.00 Сервис и туризм,235,2022
