,"Направление, специальность, профессия",Итоговая сумма баллов,Год
0,05.03.01 Геология,165.0,2015
1,09.03.00 Информатика и вычислительная техника,169.0,2015
2,09.03.02 Информационные системы и технологии,163.0,2015
3,12.03.01 Приборостроение,153.0,2015
4,13.03.02 Электроэнергетика и электротехника,205.0,2015
5,15.03.01 Машиностроение,149.0,2015
6,15.03.02 Технологические машины и оборудование,141.0,2015
7,15.03.04 Автоматизация технологических процессов и производств,201.0,2015
8,18.03.01 Химическая технология,162.0,2015
9,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",146.0,2015
10,19.03.04 Технология продукции и организация общественного питания,150.0,2015
11,20.03.01 Техносферная безопасность,196.0,2015
12,21.03.01 Нефтегазовое дело,196.0,2015
13,21.05.02 Прикладная геология,162.0,2015
14,21.05.03 Технология геологической разведки,166.0,2015
15,22.03.01 Материаловедение и технологии материалов,141.0,2015
16,23.03.01 Технология транспортных процессов,145.0,2015
17,23.03.02 Наземные транспортно-технологические комплексы,135.0,2015
18,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,146.0,2015
19,23.05.01 Наземные транспортно-технологические средства,141.0,2015
20,27.03.01 Стандартизация и метрология,143.0,2015
21,27.03.02 Управление качеством,145.0,2015
22,27.03.04 Управление в технических системах,171.0,2015
23,27.03.05 Инноватика,141.0,2015
24,38.03.02 Менеджмент,222.0,2015
