,Направление подготовки,Сумма баллов,Год
0,05.03.01 Геология,201,2019
1,07.03.01 Архитектура,284,2019
2,07.03.03 Дизайн архитектурной среды,279,2019
3,08.03.01 Строительство,177,2019
4,08.05.01 Строительство уникальных зданий и сооружений,199,2019
5,"08.05.02 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",176,2019
6,09.03.01 Информатика и вычислительная техника,215,2019
7,09.03.02 Информационные системы и технологии,208,2019
8,12.03.01 Приборостроение,176,2019
9,12.03.04 Биотехнические системы и технологии,194,2019
10,13.03.01 Теплоэнергетика и теплотехника,202,2019
11,13.03.02 Электроэнергетика и электротехника,222,2019
12,15.03.01 Машиностроение,194,2019
13,15.03.04 Автоматизация технологических процессов и производств,221,2019
14,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,182,2019
15,18.03.01 Химическая технология,212,2019
16,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",182,2019
17,19.03.04 Технология продукции и организация общественного питания,184,2019
18,20.03.01 Техносферная безопасность,192,2019
19,21.03.01 Нефтегазовое дело,226,2019
20,21.03.02 Землеустройство и кадастры,176,2019
21,21.05.01 Прикладная геодезия,182,2019
22,21.05.02 Прикладная геология,206,2019
23,21.05.03 Технология геологической разведки,199,2019
24,22.03.01 Материаловедение и технологии материалов,176,2019
25,23.03.01 Технология транспортных процессов,214,2019
26,23.03.02 Наземные транспортно-технологические комплексы,192,2019
27,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,197,2019
28,23.05.01 Наземные транспортно-технологические средства,182,2019
29,27.03.01 Стандартизация и метрология,176,2019
30,27.03.02 Управление качеством,178,2019
31,27.03.03 Системный анализ и управление,176,2019
32,27.03.04 Управление в технических системах,206,2019
33,27.03.05 Инноватика,202,2019
