,Направление подготовки,Сумма баллов,Год
0,01.03.02 Прикладная математика и информатика,212,2021
1,05.03.01 Геология,174,2021
2,07.03.01 Архитектура,301,2021
3,07.03.03 Дизайн архитектурной среды,301,2021
4,08.03.01 Строительство,140,2021
5,08.05.00 Техника и технологии строительства,210,2021
6,09.03.00 Информатика и вычислительная техника,211,2021
7,09.03.02 Информационные системы и технологии,203,2021
8,12.03.01 Приборостроение,137,2021
9,12.03.04 Биотехнические системы и технологии,180,2021
10,13.03.01 Теплоэнергетика и теплотехника,149,2021
11,13.03.02 Электроэнергетика и электротехника,187,2021
12,15.03.01 Машиностроение,189,2021
13,15.03.04 Автоматизация технологических процессов и производств,224,2021
14,15.03.06 Мехатроника и робототехника,202,2021
15,18.03.00 Химические технологии,181,2021
16,19.03.04 Технология продукции и организация общественного питания,168,2021
17,20.03.01 Техносферная безопасность,170,2021
18,21.03.01 Нефтегазовое дело,216,2021
19,21.03.02 Землеустройство и кадастры,137,2021
20,"21.05.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия",187,2021
21,21.05.01 Прикладная геодезия,172,2021
22,22.03.01 Материаловедение и технологии материалов,144,2021
23,23.03.01 Технология транспортных процессов,158,2021
24,23.03.02 Наземные транспортно-технологические комплексы,189,2021
25,23.05.01 Наземные транспортно-технологические средства,137,2021
26,27.03.00 Управление в технических системах,156,2021
27,27.03.03 Системный анализ и управление,201,2021
28,27.03.04 Управление в технических системах,201,2021
29,28.03.03 Наноматериалы,164,2021
30,43.03.00 Сервис и туризм,209,2021
